RM1,RM2,RT1,RT2,T
12135.4,8317,35670,10000,4.33
12163.2,8317.62,35660,10000,4.34
12191,8318.25,35650,10000,4.35
12218.8,8318.89,35640,10000,4.36
12246.6,8319.54,35630,10000,4.37
12274.4,8320.21,35620,10000,4.38
12302.2,8320.9,35610,10000,4.39
12330,8321.59,35600,10000,4.4
12357.8,8322.3,35590,10000,4.41
12385.6,8323.02,35580,10000,4.42
12413.4,8323.76,35570,10000,4.43
12441.2,8324.51,35560,10000,4.44
12469,8325.27,35550,10000,4.45
12496.8,8326.04,35540,10000,4.46
12524.6,8326.83,35530,10000,4.47
12552.4,8327.63,35520,10000,4.48
12580.2,8328.44,35510,10000,4.49
12608,8329.26,35500,10000,4.5
12635.7,8330.1,35490,10000,4.51
12663.5,8330.95,35480,10000,4.52
12691.3,8331.81,35470,10000,4.53
12719.1,8332.69,35460,10000,4.54
12746.9,8333.58,35450,10000,4.55
12774.7,8334.48,35440,10000,4.56
12802.5,8335.39,35430,10000,4.57
12830.2,8336.31,35420,10000,4.58
12858,8337.25,35410,10000,4.59
12885.8,8338.2,35400,10000,4.6
12913.6,8339.16,35390,10000,4.61
12941.3,8340.14,35380,10000,4.62
12969.1,8341.12,35370,10000,4.63
12996.9,8342.12,35360,10000,4.64
13024.7,8343.13,35350,10000,4.65
13052.5,8344.15,35340,10000,4.66
13080.2,8345.19,35330,10000,4.67
13108,8346.23,35320,10000,4.68
13135.8,8347.29,35310,10000,4.69
13163.5,8348.36,35300,10000,4.7
13191.3,8349.44,35290,10000,4.71
13219.1,8350.54,35280,10000,4.72
13246.8,8351.64,35270,10000,4.73
13274.6,8352.76,35260,10000,4.74
13302.4,8353.89,35250,10000,4.75
13330.1,8355.03,35240,10000,4.76
13357.9,8356.18,35230,10000,4.77
13385.7,8357.35,35220,10000,4.78
13413.4,8358.52,35210,10000,4.79
13441.2,8359.71,35200,10000,4.8
13469,8360.91,35190,10000,4.81
13496.7,8362.12,35180,10000,4.82
13524.5,8363.34,35170,10000,4.83
13552.2,8364.57,35160,10000,4.84
13580,8365.81,35150,10000,4.85
13607.7,8367.07,35140,10000,4.86
13635.5,8368.33,35130,10000,4.87
13663.3,8369.61,35120,10000,4.88
13691,8370.9,35110,10000,4.89
13718.8,8372.2,35100,10000,4.9
13746.5,8373.51,35090,10000,4.91
